,review,label
0,This headphone is good but not that much as i expected*Pros- 1Good battery backup             2Good sound quality*Cons-1 There's a voice gap between video activity and voice. Voice comes after video activity not both comes together. It is ok when you watch movies and music but if you play pubg with it you will clearly feel the big gap it matters a lot for me. It is not working after 4 month very much disappointedOverall not goodDon't buy please,0
1,"After using for about 8 days, right side of the earphone is not working properly and the volume on right side is  very low. I didn't expect this.",0
2,Mic is not proper recipient persons can't hear proper sound ( every time for call I heard from front I can't hear you so I have to again talk to through Mobile phone no Option useless of wirless meaning)  and sound quality is so loud. Like local headphones. not comfortable to wear for more than1 hrs of uses.tere is no meanings to get replaced again you get same product therefore this is wast of money.,0
3,"Not so comfortable to wear and ear started paining after 5 min of use and music is not so clear we feel like hearing a radio,",0
4,The earphones are very good if you are looking at buying one for listening to music. Please look for other options if you intend to make calls as well. The microphone is not great and the person on the other side of the call will not be able to hear you clearly,0
5,"Some times buttons not workingSome times incoming call voice not activating we need to disconnect and reconnect again..Battery is excellent almost 3days backup for callsCharging very fast few minutes onlyBass level and sound clarity is good. Vibration while call waiting is irritating, not need this future Finally i will give only ⭐⭐ for this product.",0
6,As per the observation of the product from the purchasing date to till the time .Please don't go for this product its like china product . I brought this on October  and saw it have 1 year warranty .MY headset left side is stopped working within in4 months. As per the advise from flip kart Customer care i reached the showroom with my Bill copy and all They are not ready to do replace or free service. They suggested me to go mobile service center for repaired the same. Really unsatisfied...,0
7,"sound quality is good... expecially the bassthe design is much pretty but its hard to wear in the sleepy times. its mat finish is much impressive nd it also  with the inbuilt mic and battery backup , nd its bass is the main quality.. nd product quality is much better.in this price range its the best option ...its not more flexible ... we cant carry it in the pocket .. but usually its a neckband.. and it suit perfect and work perfect ..and it vibrating when we got a call .  its a good thi...",0
8,"Sound quality not that good. Can't play it in full volume. Boat rockers 255 is way better than this product. I would definitely not recommend this earphone as if u add some 300rs to this price you can go for boat rockers 255. Avoid buying this, it's not worth ot",0
9,Too.. Good in this Price range..👌👍How to open/on Voice Assistant to use the Multiplication button in this Headset ?,0
10,Mic complaint,0
11,Once the date is over for the replacement the product has started his issues such has volume is getting increases automatically .. in between the call it's gets disconnected.. worst product I have purchased from flipkart...don't buy this product.Even while playing the videos the videos gets changed by its won if I am using the headset .. if it is disconnected every thing is fine..,0
12,After 1 month used plus & minus button not workingWarranty Service is very Poor,0
13,Not suitable for bikers and calling. You can use it for listening to music but the call quality is average. The major problem is with the mic.,0
14,After 2 month power button not working and sound is very low,0
15,Beyond the imagination....VERY BAD PRODUCT BUTTONS CANT WORK PROPERLYLeft side sound automatically gets low n battery after 60% suddenly low dont know what's going on with it😐😐😑but BOAT BALO TUMNE DHOKA DIYA😐😑SOCHA THA COMPANY KA ITEM LE RHA HU KOI DIKKAT NHI AAYEGI BUT SAB BAKBAS H VERY MUCH DISAPPOINTEDAPNI POCKET MONEY COLLECT KARKE ORDER KIYA THA ☹️☹️,0
16,This product is imported from china. Boat is a indian brand but importing all goods from china. Also hissing sound is coming after connection and suddenly it gets disconnect. Its my suggestion is to not to buy this.,0
17,review after 2 month     my earephon is automatically volum up not shatdown automatically music change verry bad experience sound battery all good but product is not good,0
18,Flipkart is chitted company. Don't buy from flipkat.Customer care third class and chitte people overthere,0
19,One should not purchase it if he wants to use it for calls.mick quality worst one.waste of money.,0
20,My voice is not audible to others not recommended,0
21,Not working switched after 15 Days & automatically working volume +- switch & not work on off switch,0
22,I given a 5 star for this product when I used it for the first day. Now I'm giving 1 star because now the power button and volume button are not working. I didn't expected this from flipkart. This headset doesn't survived atleast for one month.I purchased this on June 2020. I doesn't worth a penny. I don't recommend this product.,0
23,Bad quality,0
24,One should not purchase it if he wants to use it for calls.mick quality worst one.waste of money.,0
25,My voice is not audible to others not recommended,0
26,"Bluetooth range is not more than 2 mts.if you turn to wall side it disconnected immediately .Don't buy, third class product.",0
27,The sound is cracking like an old breaking tape.,0
28,"Good battery backup... poor sound quality... good bass, no sound clarity...",0
29,"Boat 235v2 not for calling, when you driving ,you unable to talk to anyone",0
30,Microphone of this Bluetooth headset is problematic. When we receive call person talking with us can't hear properly. And tha game is started of hello hello and hello...Faulty headset given by boAt..Replace it now only.,0
31,I own both the boat rockers 235 and boAt 235v2 and I can say that the sound quality of 235v2 is soft and clear but it lacks the punch that boat rockers 235 has. Morever it is a bit heavier then the boat rockers 235 making it little uncomfortable for a long use. Better Is however exceptionally good. The range is not taht much of a improvement and the most annoying thing I experienced is that it gets disconnected very quick and most of time when I connect it with my laptop will only connect and...,0
32,Earlier I gave 5 star rating to this product but after using few days it stopped working . Don't purchase total waste of money..,0
33,Very lagging amd sound delay to playing games and watching movies...And specifically no Warranty on this product so don't buy.,0
34,"Please don't buy anyone , after 10 days it not work properly ,  power button is not working  always it gives maximum volume alert",0
35,my hedphone phase a problem music is automatically next of few second,0
36,Can't talk to anyone with this Bluetooth. Voice is not heard from the front. It is very bad,0
37,Worst product.After using for 9 days it started to show problem.Battery drains too fast. Headphone gets disconnected automatically.,0
38,After 4 hours used one side earphone isn't working,0
39,Its is not as advertised...after two days of use the mfb button is not working  and the device is not pairing,0
40,After 2 months not working properly power button is not working,0
41,"I used the headphones for 2 weeks amd there is no problem with sound quality while listening music or watching videos, but it is terrible during calls. There is a always issues in the connectivity, voice is breaking even if the headphones is 5 meter away from the mobile. Poor connectivity, totally disappointed with it.",0
42,It's build quality is bad... And wires are too thin... And highs and mids are muddy and unclear... Bass is average...  Overall earphones is not worth it... Go for 255 or realme buds .. I returned it...,0
43,I am updating my review after 5months. Mainly because it has become very frustrating for me regarding the connectivity problems of this headset. Earlier it was good. Now it gets disconnected very often in between and many more connectivity problems 😔.,0
